Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New
Ludotrotter,Bundle 8.5 Evolutions Prismatiques + Bundle 6.5 Fable Nébuleuse - FR - Pokémon,bundle-8-5-evolutions-prismatiques-bundle-6-5-fable-nebuleuse-fr-pokemon,https://ludotrotter.fr/wp-content/uploads/2025/04/8.56.5-300x300.webp,80.00,76.00,https://ludotrotter.fr/produit/pokemon-bundle-special-8-5-bundle-special-6-5/,,,,,,,
Ludotrotter,One Piece - Bundle Treasure Pack + Coffret Live Action,one-piece-bundle-treasure-pack-coffret-live-action,https://ludotrotter.fr/wp-content/uploads/2025/02/OU-1-300x300.webp,60.00,48.00,https://ludotrotter.fr/produit/one-piece-bundle-treasure-pack-coffret-live-action/,,,,,,,
Ludotrotter,Display Etincelle de Rébellion - FR - Star Wars Unlimited,display-etincelle-de-rebellion-fr-star-wars-unlimited,https://ludotrotter.fr/wp-content/uploads/2024/01/ffgswh0101fr_display_20231114-300x300.jpg,129.50,85.00,https://ludotrotter.fr/produit/star-wars-unlimited-etincelle-de-rebellion-display-fr/,,,,,,,
Le Bon Jeu,CITRON COCO,citron-coco,https://lebonjeu.fr/4527-home_default/citron-coco.jpg,14.90,7.45,https://lebonjeu.fr/ambiances/1280-citron-coco-3770015752009.html,,,,,,,
Le Bon Jeu,DINNER IN PARIS,dinner-in-paris,https://lebonjeu.fr/2575-home_default/dinner-in-paris.jpg,41.90,26.90,https://lebonjeu.fr/strategies/1010-dinner-in-paris-3616450000018.html,2,4,60,40,60,10,
Le Bon Jeu,FOU FOU FOU !,fou-fou-fou,https://lebonjeu.fr/4898-home_default/fou-fou-fou-.jpg,13.90,9.73,https://lebonjeu.fr/ambiances/113-fou-fou-fou--3701252800055.html,3,8,15,15,15,8,
Le Bon Jeu,FOU FOU FOU ! PLAISIR D'OFFRIR !,fou-fou-fou-plaisir-d-offrir,https://lebonjeu.fr/4539-home_default/fou-fou-fou-plaisir-d-offrir-.jpg,13.90,9.73,https://lebonjeu.fr/ambiances/114-fou-fou-fou-plaisir-d-offrir--3701252800093.html,3,8,15,15,15,8,
Le Bon Jeu,LA FAMIGLIA + EXTENSION 2-3 JOUEURS,la-famiglia-extension-2-3-joueurs,https://lebonjeu.fr/6208-home_default/la-famiglia-extension-2-3-joueurs.jpg,85.90,76.90,https://lebonjeu.fr/experts/1643-la-famiglia-extension-2-3-joueurs-3770023051781.html,2,3,180,90,180,16,
Le Bon Jeu,MICE & MYSTICS,mice-mystics,https://lebonjeu.fr/2987-home_default/mice-mystics.jpg,64.90,42.19,https://lebonjeu.fr/cooperatifs/1078-mice-mystics-8435407620209.html,,,,,,,
Le Bon Jeu,PACK BIATHLON CRYSTAL GLOBE + 2 EXTENSIONS,pack-biathlon-crystal-globe-2-extensions,https://lebonjeu.fr/2204-home_default/pack-biathlon-crystal-globe-2-extensions.jpg,105.30,93.00,https://lebonjeu.fr/strategies/948-pack-biathlon-crystal-globe-2-extensions-3760205230813.html,2,12,,,,7,
Le Bon Jeu,PACK KROM EVOLUTION + TAPIS DE JEU + PISTE DE DES,pack-krom-evolution-tapis-de-jeu-piste-de-des,https://lebonjeu.fr/4533-home_default/pack-krom-evolution-tapis-de-jeu-piste-de-des.jpg,67.90,60.90,https://lebonjeu.fr/familles/1358-pack-krom-evolution-tapis-de-jeu-piste-de-des.html,,,,,,,
Le Bon Jeu,REVELIO,revelio,https://lebonjeu.fr/5373-home_default/revelio.jpg,35.90,20.90,https://lebonjeu.fr/enquetes/1513-revelio-3421272864010.html,3,6,30,30,30,13,
Le Bon Jeu,STROGANOV,stroganov,https://lebonjeu.fr/4535-home_default/stroganov.jpg,55.90,45.90,https://lebonjeu.fr/familles/29-stroganov-5407004493350.html,1,4,90,90,90,12,
Le Bon Jeu,TERRACOTTA ARMY,terracotta-army,https://lebonjeu.fr/4038-home_default/terracotta-army.jpg,58.90,29.45,https://lebonjeu.fr/experts/1264-terracotta-army-3701358300855.html,,,,,,,
Le Bon Jeu,LA GRANJA - EDITION DELUXE,la-granja-edition-deluxe,https://lebonjeu.fr/5309-home_default/la-granja-edition-deluxe.jpg,99.90,69.93,https://lebonjeu.fr/strategies/1502-la-granja-edition-deluxe.html,,,,,,,
Le Bon Jeu,PACK ARACKHAN WARS - JEU DE BASE + 2 EXTENSIONS + 4 PLATEAUX JOUEURS OFFERTS,pack-arackhan-wars-jeu-de-base-2-extensions-4-plateaux-joueurs-offerts,https://lebonjeu.fr/5058-home_default/pack-arackhan-wars-jeu-de-base-2-extensions-4-plateaux-joueurs-offerts.jpg,112.00,103.50,https://lebonjeu.fr/strategies/1455-pack-arackhan-wars-jeu-de-base-2-extensions-4-plateaux-joueurs-offerts.html,,,,,,,
